,ts_code,stk_code,list_date,industry,market,total_mv,profit,year,month
117,123025.SZ,300567.SZ,2019-04-19,电器仪表,创业板,128.7805794,0.12,2019,4
118,110057.SH,600420.SH,2019-04-30,化学制药,主板,105.93955505999999,0.04,2019,4
119,128062.SZ,002370.SZ,2019-04-24,化学制药,中小板,95.49601317,0.08,2019,4
120,113532.SH,603817.SH,2019-04-24,环境保护,主板,36.54,0.050900000000000035,2019,4
121,113533.SH,603233.SH,2019-04-24,医药商业,主板,185.52463799999998,0.06,2019,4
122,128063.SZ,002631.SZ,2019-04-24,家居用品,中小板,77.27209620000001,0.15,2019,4
123,128064.SZ,002538.SZ,2019-05-07,农药化肥,中小板,41.148292219999995,-0.025,2019,5
124,113024.SH,601611.SH,2019-04-26,建筑工程,主板,229.6875,0.03,2019,4
125,113534.SH,603876.SH,2019-04-30,铝,主板,72.068,-0.03,2019,4
126,113025.SH,601677.SH,2019-05-07,铝,主板,58.16181452,-0.02530000000000001,2019,5
127,113026.SH,601985.SH,2019-05-08,新型电力,主板,874.777166,0.03,2019,5
128,127013.SZ,000810.SZ,2019-05-16,家用电器,主板,102.36204258,-0.0009999999999999432,2019,5
129,128065.SZ,002497.SZ,2019-05-10,化工原料,中小板,64.992,-0.04998999999999995,2019,5
130,110058.SH,600105.SH,2019-05-08,通信设备,主板,65.27872209,-0.05,2019,5
131,128066.SZ,002811.SZ,2019-05-14,装修装饰,中小板,26.478,-0.011099999999999994,2019,5
132,128067.SZ,002727.SZ,2019-05-17,医药商业,中小板,170.89871311000002,0.19989000000000004,2019,5
133,113535.SH,603278.SH,2019-06-03,钢加工,主板,37.57464288,0.10099999999999994,2019,6
134,113536.SH,603578.SH,2019-06-24,玻璃,主板,17.83836,0.02,2019,6
135,128068.SZ,002402.SZ,2019-07-01,元器件,中小板,83.23386402999999,0.02,2019,7
136,113537.SH,603348.SH,2019-07-05,汽车配件,主板,43.934,0.021200000000000045,2019,7
137,123026.SZ,300692.SZ,2019-07-01,环境保护,创业板,23.3127285,0.12989999999999996,2019,7
138,123027.SZ,300487.SZ,2019-07-04,化工原料,创业板,64.31772375,0.09200000000000003,2019,7
139,113027.SH,601020.SH,2019-07-10,铅锌,主板,55.37898639,0.03,2019,7
140,113028.SH,601200.SH,2019-07-08,环境保护,主板,118.45592426,0.20200000000000004,2019,7
141,123028.SZ,300437.SZ,2019-07-15,化工原料,创业板,28.0762047,0.030999999999999944,2019,7
142,128069.SZ,002907.SZ,2019-07-11,化学制药,中小板,68.650296,-0.0010999999999999942,2019,7
143,113538.SH,603658.SH,2019-07-22,医疗保健,主板,294.336,0.12120000000000004,2019,7
144,128070.SZ,002877.SZ,2019-07-23,电器仪表,中小板,27.962644479999998,-0.01900000000000006,2019,7
